name,id,imageurl,xdescription,ydescription,height,category,weight,typeofpokemon,weaknesses,evolutions,abilities,genderless,cycles,egg_groups,evolvedfrom,reason,base_exp,classification,percent_male,percent_female,abilities_hidden,capture_rate,base_egg_steps,hp,attack,defense,sp_attack,sp_defense,speed,description,status,total_points,base_friendship,growth_rate,effectiveness
Bulbasaur,#001,https://assets.pokemon.com/assets/cms2/img/pokedex/full/001.png,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger.","Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger.","2' 04""",Seed,15.2 lbs,"['Grass', 'Poison']","['Fire', 'Flying', 'Ice', 'Psychic']","['#001', '#002', '#003']",['Overgrow'],0,20 ,"Grass, Monster ",,,64,Seed Pokémon,88.14,11.86,Chlorophyll,45,5120,45,49,49,65,65,45,There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.,Normal,318,70,Medium Slow,"[100, 200, 50, 50, 25, 200, 50, 100, 100, 200, 200, 100, 100, 100, 100, 100, 100, 50]"
Ivysaur,#002,https://assets.pokemon.com/assets/cms2/img/pokedex/full/002.png,"There is a bud on this Pokémon's back. To support its weight, Ivysaur's legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it's a sign that the bud will bloom into a large flower soon.","There is a bud on this Pokémon's back. To support its weight, Ivysaur's legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it's a sign that the bud will bloom into a large flower soon.","3' 03""",Seed,28.7 lbs,"['Grass', 'Poison']","['Fire', 'Flying', 'Ice', 'Psychic']","['#001', '#002', '#003']",['Overgrow'],0,20 ,"Grass, Monster ",#001,(Level 16),142,Seed Pokémon,88.14,11.86,Chlorophyll,45,5120,60,62,63,80,80,60,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",Normal,405,70,Medium Slow,"[100, 200, 50, 50, 25, 200, 50, 100, 100, 200, 200, 100, 100, 100, 100, 100, 100, 50]"
Venusaur,#003,https://assets.pokemon.com/assets/cms2/img/pokedex/full/003.png,There is a large flower on Venusaur's back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people.,There is a large flower on Venusaur's back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people.,"6' 07""",Seed,220.5 lbs,"['Grass', 'Poison']","['Fire', 'Flying', 'Ice', 'Psychic']","['#001', '#002', '#003']",['Overgrow'],0,20 ,"Grass, Monster ",#002,(Level 32),236,Seed Pokémon,88.14,11.86,Chlorophyll,45,5120,80,82,83,100,100,80,Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,Normal,525,70,Medium Slow,"[100, 200, 50, 50, 25, 200, 50, 100, 100, 200, 200, 100, 100, 100, 100, 100, 100, 50]"
Charmander,#004,https://assets.pokemon.com/assets/cms2/img/pokedex/full/004.png,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.","The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.","2' 00""",Lizard,18.7 lbs,['Fire'],"['Ground', 'Rock', 'Water']","['#004', '#005', '#006']",['Blaze'],0,20 ,"Dragon, Monster ",,,62,Lizard Pokémon,88.14,11.86,Solar Power,45,5120,39,52,43,60,50,65,"It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail.",Normal,625,70,Medium Slow,"[100, 100, 50, 50, 25, 100, 50, 100, 100, 200, 200, 100, 100, 100, 100, 100, 100, 50]"
Charmeleon,#005,https://assets.pokemon.com/assets/cms2/img/pokedex/full/005.png,"Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.","Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.","3' 07""",Flame,41.9 lbs,['Fire'],"['Ground', 'Rock', 'Water']","['#004', '#005', '#006']",['Blaze'],0,20 ,"Dragon, Monster ",#004,(Level 16),142,Flame Pokémon,88.14,11.86,Solar Power,45,5120,58,64,58,80,65,80,"It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws.",Normal,309,70,Medium Slow,"[100, 50, 200, 100, 50, 50, 100, 100, 200, 100, 100, 50, 200, 100, 100, 100, 50, 50]"
Charizard,#006,https://assets.pokemon.com/assets/cms2/img/pokedex/full/006.png,"Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.","Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.","5' 07""",Flame,199.5 lbs,"['Fire', 'Flying']","['Rock', 'Electric', 'Water']","['#004', '#005', '#006']",['Blaze'],0,20 ,"Dragon, Monster ",#005,(Level 36),240,Flame Pokémon,88.14,11.86,Solar Power,45,5120,78,84,78,109,85,100,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.,Normal,405,70,Medium Slow,"[100, 50, 200, 100, 50, 50, 100, 100, 200, 100, 100, 50, 200, 100, 100, 100, 50, 50]"
Squirtle,#007,https://assets.pokemon.com/assets/cms2/img/pokedex/full/007.png,"Squirtle's shell is not merely used for protection. The shell's rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.","Squirtle's shell is not merely used for protection. The shell's rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.","1' 08""",Tiny Turtle,19.8 lbs,['Water'],"['Electric', 'Grass']","['#007', '#008', '#009']",['Torrent'],0,20 ,"Monster, Water 1 ",,,63,Tiny Turtle Pokémon,88.14,11.86,Rain Dish,45,5120,44,48,65,50,64,43,"When it retracts its long neck into its shell, it squirts out water with vigorous force.",Normal,534,70,Medium Slow,"[100, 50, 200, 200, 25, 100, 50, 100, 0, 100, 100, 25, 400, 100, 100, 100, 50, 50]"
Wartortle,#008,https://assets.pokemon.com/assets/cms2/img/pokedex/full/008.png,"Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon's toughness as a battler.","Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon's toughness as a battler.","3' 03""",Turtle,49.6 lbs,['Water'],"['Electric', 'Grass']","['#007', '#008', '#009']",['Torrent'],0,20 ,"Monster, Water 1 ",#007,(Level 16),142,Turtle Pokémon,88.14,11.86,Rain Dish,45,5120,59,63,80,65,80,58,"It is recognized as a symbol of longevity. If its shell has algae on it, that Wartortle is very old.",Normal,634,70,Medium Slow,"[100, 25, 100, 50, 25, 100, 100, 100, 200, 100, 100, 50, 200, 100, 200, 100, 50, 100]"
Blastoise,#009,https://assets.pokemon.com/assets/cms2/img/pokedex/full/009.png,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,"5' 03""",Shellfish,188.5 lbs,['Water'],"['Electric', 'Grass']","['#007', '#008', '#009']",['Torrent'],0,20 ,"Monster, Water 1 ",#008,(Level 36),239,Shellfish Pokémon,88.14,11.86,Rain Dish,45,5120,79,83,100,85,105,78,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell.",Normal,634,70,Medium Slow,"[100, 50, 200, 200, 25, 100, 50, 100, 0, 100, 100, 25, 400, 100, 100, 100, 50, 50]"
Caterpie,#010,https://assets.pokemon.com/assets/cms2/img/pokedex/full/010.png,"Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.","Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.","1' 00""",Worm,6.4 lbs,['Bug'],"['Fire', 'Flying', 'Rock']","['#010', '#011', '#012']",['Shield Dust'],0,15 ,Bug ,,,39,Worm Pokémon,50.2,49.8,Run Away,255,3840,45,30,35,20,20,45,"For protection, it releases a horrible stench from the antenna on its head to drive away enemies.",Normal,314,70,Medium Slow,"[100, 50, 50, 200, 200, 50, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 50, 100]"
